Year,Mean_actual,Mean_simulated
2011,0.38436147031952855,0.38436147031952855
2012,0.37860933586038653,0.3981204880387702
2013,0.4462158415974507,0.4664907672391522
2014,0.43801144802581654,0.4605179272875812
2015,0.37310885068086236,0.4139630426585593
2016,0.4144867168582307,0.457148580871916
2017,0.42594207884942803,0.46780750192409837
2018,0.3892211386932363,0.41815778668677445
2019,0.3701823918532496,0.39854205875305426
