Size,Male,English,Adult,NUST,Arrival,Affiliate,Employed,U,V,y,Simulated_V,Optimal_V,theta,theta_original,Simulated_Y,Successful_match
1,1,1,1,0,2014-07-01,46,1,8,14,1,14,14,0.63129384061307,0.63129384061307,1,0
1,1,1,0,0,2014-05-01,13,0,4,5,1,5,5,0.6087496528107688,0.6087496528107688,1,0
1,1,1,1,0,2017-10-01,30,1,8,9,0,9,9,0.779371133417259,0.779371133417259,0,0
1,1,1,1,0,2014-05-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,0,1,1,2014-07-01,8,0,6,4,0,16,17,0.3395627344058163,0.3395627344058163,1,1
1,1,1,1,0,2014-10-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2015-02-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2014-08-01,8,1,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,0,1,1,0,2015-03-01,6,0,7,3,1,3,3,0.12634846723393262,0.12634846723393262,1,0
1,1,1,1,0,2017-06-01,6,1,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,0,2014-06-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2014-08-01,45,1,8,13,1,13,13,0.6725969062455596,0.6725969062455596,1,0
1,1,1,1,0,2014-09-01,55,1,8,17,1,17,17,0.32702159318874013,0.32702159318874013,1,0
1,1,1,1,0,2014-07-01,26,1,8,8,1,8,8,0.4717393053059779,0.4717393053059779,1,0
1,1,1,1,1,2014-05-01,8,1,8,4,0,14,13,0.459195390626195,0.459195390626195,0,1
1,1,1,1,0,2014-07-01,30,1,8,9,0,9,9,0.779371133417259,0.779371133417259,0,0
1,1,1,0,0,2014-09-01,3,0,4,2,0,2,2,0.21514079486428245,0.21514079486428245,0,0
1,1,1,1,1,2014-05-01,8,1,8,4,1,13,14,0.459195390626195,0.459195390626195,0,1
1,1,1,1,0,2014-09-01,6,1,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,1,2015-04-01,22,0,8,7,0,14,15,0.45166098760201123,0.45166098760201123,0,1
1,1,1,0,0,2014-09-01,55,1,4,17,0,17,17,0.21321022397549477,0.21321022397549477,0,0
1,1,1,1,0,2015-04-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2014-09-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,0,0,2016-10-01,13,0,4,5,0,5,5,0.6087496528107688,0.6087496528107688,0,0
1,1,1,1,0,2015-09-01,26,0,8,8,1,8,8,0.4717393053059779,0.4717393053059779,1,0
1,1,1,1,0,2015-01-01,30,1,8,9,1,9,9,0.779371133417259,0.779371133417259,1,0
1,1,1,1,0,2014-08-01,39,1,8,10,0,10,10,0.6278996485764445,0.6278996485764445,0,0
1,1,1,1,0,2014-08-01,30,1,8,9,1,9,9,0.779371133417259,0.779371133417259,1,0
1,1,1,1,0,2015-04-01,45,1,8,13,1,13,13,0.6725969062455596,0.6725969062455596,1,0
1,1,1,1,0,2014-09-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,0,1,2014-06-01,8,1,4,4,1,4,4,0.47842511915457175,0.47842511915457175,0,1
1,1,1,1,0,2015-10-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,1,2014-06-01,55,0,8,17,0,13,5,0.32702159318874013,0.32702159318874013,0,1
1,1,1,0,1,2014-09-01,8,1,4,4,0,5,14,0.47842511915457175,0.47842511915457175,0,1
1,1,1,1,0,2014-06-01,6,1,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2014-08-01,46,1,8,14,0,14,14,0.63129384061307,0.63129384061307,0,0
1,1,1,1,0,2019-03-01,55,0,8,17,0,17,17,0.32702159318874013,0.32702159318874013,0,0
1,1,1,1,0,2014-07-01,55,1,8,17,0,17,17,0.32702159318874013,0.32702159318874013,0,0
1,1,1,1,0,2014-12-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,0,0,2014-10-01,8,1,4,4,1,4,4,0.47842511915457175,0.47842511915457175,1,0
1,1,1,1,0,2014-11-01,6,0,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,0,2015-01-01,8,1,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,1,2016-04-01,2,0,8,1,0,16,10,0.3457880156496692,0.3457880156496692,1,1
1,1,1,1,0,2014-09-01,6,1,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,0,2014-09-01,8,1,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,0,0,1,2014-06-01,8,1,2,4,0,14,16,0.16402052887786386,0.16402052887786386,0,1
1,0,1,1,0,2014-12-01,3,0,7,2,0,2,2,0.21066558934177804,0.21066558934177804,0,0
1,1,1,0,1,2014-05-01,8,1,4,4,1,4,4,0.47842511915457175,0.47842511915457175,0,1
1,1,1,1,0,2015-02-01,39,1,8,10,0,10,10,0.6278996485764445,0.6278996485764445,0,0
1,1,1,1,0,2015-02-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2015-03-01,45,1,8,13,0,13,13,0.6725969062455596,0.6725969062455596,0,0
1,1,1,1,0,2014-10-01,8,1,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2019-01-01,55,1,8,17,0,17,17,0.32702159318874013,0.32702159318874013,0,0
1,1,1,1,0,2015-01-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,1,2014-04-01,46,0,8,14,1,5,14,0.63129384061307,0.63129384061307,1,1
1,1,1,0,0,2014-09-01,22,0,4,7,1,7,7,0.43121405031467447,0.43121405031467447,1,0
