theta,U,V,name,n,s,succes_rate
0.3939041355037597,7,5,beta_7_5,26,7,0.2692307692307692
0.7352848527029117,8,5,beta_8_5,88,67,0.7613636363636364
0.010820507439556667,1,6,beta_1_6,19,0,0
0.028811860372411454,2,6,beta_2_6,7,0,0
0.040745531627262806,3,6,beta_3_6,8,0,0
0.07602252421548018,4,6,beta_4_6,7,0,0
0.02740730954252809,5,6,beta_5_6,11,0,0
0.07579657517663324,6,6,beta_6_6,9,0,0
0.05017404310536834,7,6,beta_7_6,11,0,0
0.11524687150237727,8,6,beta_8_6,9,1,0.1111111111111111
0.0804701761550411,1,7,beta_1_7,37,3,0.08108108108108109
0.1757420059757071,2,7,beta_2_7,55,9,0.16363636363636364
0.3332814017952315,3,7,beta_3_7,31,14,0.45161290322580644
0.43121405031467447,4,7,beta_4_7,53,24,0.4528301886792453
0.2073582288264702,5,7,beta_5_7,74,17,0.22972972972972974
0.2969493846336098,6,7,beta_6_7,147,39,0.2653061224489796
0.31825650255985494,7,7,beta_7_7,42,14,0.3333333333333333
0.45166098760201123,8,7,beta_8_7,155,68,0.43870967741935485
0.078855264812767,1,8,beta_1_8,25,3,0.12
0.19637358942396452,2,8,beta_2_8,27,7,0.25925925925925924
0.20817550704245052,3,8,beta_3_8,15,2,0.13333333333333333
0.3474783855766085,4,8,beta_4_8,29,9,0.3103448275862069
0.1516022745089129,5,8,beta_5_8,44,6,0.13636363636363635
0.37463626689018553,6,8,beta_6_8,72,27,0.375
0.2676467948788995,7,8,beta_7_8,39,10,0.2564102564102564
0.4717393053059779,8,8,beta_8_8,102,48,0.47058823529411764
0.20388355883637066,1,9,beta_1_9,81,16,0.19753086419753085
0.42748555071297584,2,9,beta_2_9,107,46,0.42990654205607476
0.5209520335289959,3,9,beta_3_9,40,21,0.525
0.680422347719097,4,9,beta_4_9,72,49,0.6805555555555556
0.3075204159951563,5,9,beta_5_9,118,32,0.2711864406779661
0.7684938951933112,6,9,beta_6_9,302,236,0.7814569536423841
0.6033628980081174,7,9,beta_7_9,65,40,0.6153846153846154
0.779371133417259,8,9,beta_8_9,189,148,0.783068783068783
0.09934335952874235,1,10,beta_1_10,66,5,0.07575757575757576
0.31451265935715733,2,10,beta_2_10,62,22,0.3548387096774194
0.3445934824582871,3,10,beta_3_10,20,7,0.35
0.5458041625063603,4,10,beta_4_10,43,25,0.5813953488372093
0.1943077165762042,5,10,beta_5_10,88,14,0.1590909090909091
0.4488933273350701,6,10,beta_6_10,166,72,0.43373493975903615
0.4666328213823303,7,10,beta_7_10,44,23,0.5227272727272727
0.6278996485764445,8,10,beta_8_10,144,91,0.6319444444444444
0.09979321652333788,1,11,beta_1_11,33,4,0.12121212121212122
0.2120103703546696,2,11,beta_2_11,20,4,0.2
0.23570652310175802,3,11,beta_3_11,15,1,0.06666666666666667
0.3812986773541705,4,11,beta_4_11,9,1,0.1111111111111111
0.2680332364171568,5,11,beta_5_11,15,7,0.4666666666666667
0.49219043224265435,6,11,beta_6_11,21,12,0.5714285714285714
0.3772762019132907,7,11,beta_7_11,28,12,0.42857142857142855
0.4983950407579739,8,11,beta_8_11,28,12,0.42857142857142855
