Year,Quarter,V,quarterly_capacity,monthly_capacity
2017,1,4,7,3
2017,1,5,13,5
2017,1,6,3,1
2017,1,7,9,3
2017,1,8,12,4
2017,1,9,20,7
2017,1,10,13,5
2017,1,13,13,5
2017,1,14,4,2
2017,1,15,2,1
2017,1,16,5,2
2017,1,17,1,1
2017,2,2,1,1
2017,2,4,8,3
2017,2,5,13,5
2017,2,6,2,1
2017,2,7,1,1
2017,2,8,11,4
2017,2,9,5,2
2017,2,10,8,3
2017,2,12,1,1
2017,2,13,9,3
2017,2,14,5,2
2017,2,15,4,2
2017,2,16,6,2
2017,2,17,3,1
2017,3,1,1,1
2017,3,4,1,1
2017,3,5,2,1
2017,3,8,2,1
2017,3,10,2,1
2017,3,13,2,1
2017,3,14,3,1
2017,3,16,1,1
2017,4,4,1,1
2017,4,5,3,1
2017,4,7,4,2
2017,4,8,2,1
2017,4,9,1,1
2017,4,10,4,2
2017,4,13,2,1
2018,1,3,4,2
2018,1,4,1,1
2018,1,5,11,4
2018,1,7,6,2
2018,1,8,6,2
2018,1,9,1,1
2018,1,10,4,2
2018,1,13,4,2
2018,1,15,6,2
2018,1,16,3,1
2018,2,2,1,1
2018,2,5,1,1
2018,2,7,2,1
2018,2,8,9,3
2018,2,10,1,1
2018,2,13,1,1
2018,2,15,2,1
2018,2,16,2,1
2018,3,2,4,2
2018,3,3,2,1
2018,3,5,9,3
2018,3,7,8,3
2018,3,8,4,2
2018,3,9,2,1
2018,3,10,5,2
2018,3,14,1,1
2018,3,15,6,2
2018,3,16,5,2
2018,4,3,3,1
2018,4,4,1,1
2018,4,5,7,3
2018,4,7,11,4
2018,4,8,9,3
2018,4,9,1,1
2018,4,10,2,1
2018,4,13,1,1
2018,4,14,1,1
2018,4,16,3,1
2019,1,2,3,1
2019,1,3,1,1
2019,1,4,2,1
2019,1,5,10,4
2019,1,7,8,3
2019,1,8,6,2
2019,1,9,1,1
2019,1,10,2,1
2019,1,13,4,2
2019,1,14,4,2
2019,1,15,4,2
2019,1,16,5,2
2019,2,2,2,1
2019,2,3,9,3
2019,2,4,4,2
2019,2,5,4,2
2019,2,7,8,3
2019,2,8,19,7
2019,2,9,6,2
2019,2,13,3,1
2019,2,14,23,8
2019,2,15,4,2
2019,2,16,3,1
2019,3,3,2,1
2019,3,4,8,3
2019,3,5,2,1
2019,3,7,12,4
2019,3,8,16,6
2019,3,9,3,1
2019,3,10,2,1
2019,3,14,9,3
2019,3,15,10,4
2019,3,16,5,2
2019,4,2,3,1
2019,4,3,1,1
2019,4,4,5,2
2019,4,5,9,3
2019,4,7,6,2
2019,4,8,2,1
2019,4,9,1,1
2019,4,13,1,1
2019,4,14,5,2
2019,4,15,1,1
2019,4,16,1,1
2019,4,17,2,1
2020,1,4,5,2
2020,1,5,1,1
2020,1,7,2,1
2020,1,8,1,1
2020,1,9,1,1
2020,1,14,1,1
2020,1,16,7,3
2020,1,17,1,1
2020,2,3,1,1
2020,2,5,1,1
2020,2,7,1,1
2020,2,8,1,1
2020,2,9,5,2
2020,2,10,2,1
2020,2,15,4,2
2020,3,2,4,2
2020,3,3,1,1
2020,3,4,1,1
2020,3,5,5,2
2020,3,7,2,1
2020,3,8,5,2
2020,3,9,10,4
2020,3,10,4,2
2020,3,14,9,3
2020,3,16,3,1
2020,3,17,1,1
